specimen	bioproject	biosample	species
SRR23032907	PRJNA922367	SAMN32652493	Fructilactobacillus sanfranciscensis
SRR23032908	PRJNA922367	SAMN32652492	Fructilactobacillus sanfranciscensis
SRR23032909	PRJNA922367	SAMN32652491	Fructilactobacillus sanfranciscensis
SRR23032910	PRJNA922367	SAMN32652490	Fructilactobacillus sanfranciscensis
SRR23032911	PRJNA922367	SAMN32652489	Fructilactobacillus sanfranciscensis
SRR23032912	PRJNA922367	SAMN32652488	Fructilactobacillus sanfranciscensis
SRR23032913	PRJNA922367	SAMN32652487	Fructilactobacillus sanfranciscensis
SRR23032914	PRJNA922367	SAMN32652486	Fructilactobacillus sanfranciscensis
SRR23032915	PRJNA922367	SAMN32652497	Fructilactobacillus sanfranciscensis
SRR23032916	PRJNA922367	SAMN32652496	Fructilactobacillus sanfranciscensis
SRR23032917	PRJNA922367	SAMN32652495	Fructilactobacillus sanfranciscensis
SRR23032918	PRJNA922367	SAMN32652494	Fructilactobacillus sanfranciscensis
SRR23032919	PRJNA922367	SAMN32652485	Fructilactobacillus sanfranciscensis
SRR23032920	PRJNA922367	SAMN32652484	Fructilactobacillus sanfranciscensis